"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2KTl02iXG2JMY9Ni9ojVA9","What Went We","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","spotify:album:7mEUEbC4juBQxkjPDoYpR6","The Witch (Original Soundtrack Album)","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","2016-02-19","https://i.scdn.co/image/ab67616d0000b273c3491e171e585bc4c24d935d","1","1","118653","","false","0","US5941405995","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:7MkOuIJp6rVE0QEJHkv7ot","Opening Night","spotify:artist:1odprh3myZFweAnqDPUMox","Dictaphone","spotify:album:51re4oh7OWkgz31Uhc7w0X","APR 70","spotify:artist:1odprh3myZFweAnqDPUMox","Dictaphone","2017-11-23","https://i.scdn.co/image/ab67616d0000b273094364c6f329da8ff4af3155","1","1","289701","https://p.scdn.co/mp3-preview/255d73aae48114d9712d7aa1aef701c676ef0d1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DERK91728801","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:46:03Z"
"spotify:track:0bnNvcqFIRPQE0RdhUTHXv","Forlorn Mermaid","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","spotify:album:3JZZUlI8idZtFVyn0FPv1S","Forlorn Mermaid","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","2023-06-29","https://i.scdn.co/image/ab67616d0000b273999fabe35cf700c0ceadd9e4","1","1","162553","https://p.scdn.co/mp3-preview/3ab1689c925e9d360d00b8e5857f902a13f501e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM3DF2248389","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-29T16:19:01Z"
"spotify:track:2oKbyMNUGKXhaG9fURiPAk","Arthur's Theme","spotify:artist:7yAPsqNhqqsTGsuOSZJg0i","Marco Beltrami","spotify:album:02ynOSYkMk6iR006qCFwLF","The Woman In Black (Original Motion Picture Soundtrack)","spotify:artist:7yAPsqNhqqsTGsuOSZJg0i","Marco Beltrami","2012-02-07","https://i.scdn.co/image/ab67616d0000b2730156c57e694b6d1cbf7e4400","1","22","166226","","false","0","GBAJC1200060","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:6ETcnHIMWFSdajzRCDDshb","Old Jester","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","spotify:album:6vNlsl0WgQj5wDP5Tjwz9l","Old Jester","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","2023-06-29","https://i.scdn.co/image/ab67616d0000b273cb78ad588febcce826108529","1","1","140858","https://p.scdn.co/mp3-preview/c7a6a95937ecfb190480ccc1d15baec9a92f4518?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM3DF2248411","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-29T16:19:37Z"
"spotify:track:33UbH7xlhSK5cIMk2JCRnv","Iraida Yusupova: KITEJ–19","spotify:artist:1iJUYxxr69UBunbBggoSgR, spotify:artist:5PKeaAkMpVKmfw9ArG4US3, spotify:artist:08GqAbGBPbwT33PIeW0QZv, spotify:artist:1N6kZMavwtrER7WWYwleuI","Yusupova Iraida, Barbara Buchholz, Lydia Kavina, Kammerensemble Neue Musik Berlin","spotify:album:5PK2qYVj42440Mlb2aYNZH","touch! don touch! music for theremin","spotify:artist:5PKeaAkMpVKmfw9ArG4US3, spotify:artist:08GqAbGBPbwT33PIeW0QZv, spotify:artist:1N6kZMavwtrER7WWYwleuI","Barbara Buchholz, Lydia Kavina, Kammerensemble Neue Musik Berlin","2008-11-28","https://i.scdn.co/image/ab67616d0000b273614ad0364eda39d02f649cb5","1","8","553440","https://p.scdn.co/mp3-preview/61bcec9c5f8f5f43f99e7fb17fa972c4f2859b57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","DEC440506248","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T06:16:09Z"
"spotify:track:5rfYlWarYj0dazUhxIlkSK","Möbius Ladder","spotify:artist:4cMtRN067d2dijGdRXfPvX","Julián Fueyo","spotify:album:7zMf0cNKaCjZhjS0WgprEt","Möbius Ladder","spotify:artist:4cMtRN067d2dijGdRXfPvX","Julián Fueyo","2023-06-29","https://i.scdn.co/image/ab67616d0000b2733f5660e0f6fbf9590c8758b6","1","1","244854","https://p.scdn.co/mp3-preview/2b14bd833f63f0b3036313226aaf7a689a8fbb39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM3DF2248371","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-29T16:19:21Z"
"spotify:track:2ka1x0wfRcAxk6cHNU7TCh","Joan Clayton","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","spotify:album:3sPvhx3d6p0xSWPqjwl4Gv","Penny Dreadful: Seasons 2 & 3 (Music From The Showtime Original Series)","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","2016-12-16","https://i.scdn.co/image/ab67616d0000b273e72dc6193c35d20eb0b9acc1","1","10","239506","","false","30","US3M51646010","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:2aKZ0gsXIAo8WkAn7w8Wp4","Faun’s Riddle (Acertijo del Fauno)","spotify:artist:4cMtRN067d2dijGdRXfPvX","Julián Fueyo","spotify:album:0T51vBaXevQdeYVAe9ltDL","Faun’s Riddle (Acertijo del Fauno)","spotify:artist:4cMtRN067d2dijGdRXfPvX","Julián Fueyo","2023-06-14","https://i.scdn.co/image/ab67616d0000b2730e775c691d08c675aca6f437","1","1","146760","https://p.scdn.co/mp3-preview/334941e0332468dcb8486d295d8657329ef16b02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM3DF2222614","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-18T09:29:25Z"
"spotify:track:24snPkpSjucAbaJ4dGZsFT","Les Pleurs (Mr. de Sainte Colombe, version viole seule de Jordi Savall)","spotify:artist:6APpGgnZqpXhUGNHvpoiC4, spotify:artist:3faEZMpTmZFXpELU1EwWNL","Monsieur de Sainte-Colombe, Jordi Savall","spotify:album:7g60mBeDTlezLzn3I5dVUE","Tous les matins du monde (Bande originale du film)","spotify:artist:3faEZMpTmZFXpELU1EwWNL, spotify:artist:7aIntphCrH9p1FzgqAtlo9, spotify:artist:2h9ZEx9DABEGQyZ5oij09G, spotify:artist:0bHipuXvuoeYTTUV67pE2F, spotify:artist:3r1dphXjVBOwbUAYrrkEkQ, spotify:artist:20IDzRi0wyLOh0Bj40v4Sj, spotify:artist:6vsImLEEyX8mYtchuat4vm, spotify:artist:6JM9ijNSKNjSXzxVrFjmuh, spotify:artist:7AxEMNrf3o9LxbSDoZzTtO","Jordi Savall, Montserrat Figueras, Le Concert Des Nations, Maria Cristina Kiehr, Fabio Biondi, Christophe Coin, Jerome Hantai, Rolf Lislevand, Pierre Hantaï","2001-01-01","https://i.scdn.co/image/ab67616d0000b2730c3dee4b7d07ae63b5b5b6b5","1","6","249965","https://p.scdn.co/mp3-preview/a6392276da0d2b6977c259cf3035d1e7100f8eee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","CH4210100063","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:31:05Z"
"spotify:track:0dMRx5UHau9FTlPW76NWk0","Arrival","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","spotify:album:2BhIDZrVtzZ5v9xY6KblYJ","The Lighthouse (Original Motion Picture Soundtrack)","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","2019-10-18","https://i.scdn.co/image/ab67616d0000b273a8a7c227723ecab6faa11f25","1","1","109880","https://p.scdn.co/mp3-preview/b4fc2e9230c4d84851f4b393d479ca02f70514ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQX91902185","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:48:14Z"
"spotify:track:4xpnrlcRcvA1g9UdiUN8Wn","Mazurka in A Minor, B. 140 ""Émile Gaillard""","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Frédéric Chopin, Arseniy Gusev","spotify:album:6UNYlRzq1b0lBmjMcUsljB","Enfleurage","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","2023-04-26","https://i.scdn.co/image/ab67616d0000b273b68c8cb98a3a422def791d21","1","10","211981","https://p.scdn.co/mp3-preview/1d86612e63ad485574d98b7f53d1a5266ef54dd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QM3DF2200873","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T06:32:49Z"
"spotify:track:3JggEa7I7tBPQhiOfexL6U","She Remembers","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","spotify:album:5GwkoBYQ4trQO34CZ6RQkg","The Leftovers: Season 1 (Music from the HBO Series)","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","2014-12-02","https://i.scdn.co/image/ab67616d0000b27349f6cc2b9a5828ae0210fd46","1","12","229403","https://p.scdn.co/mp3-preview/8673bca3d522b4065458b81ef0adbda40ee7f58c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USNLR1400847","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:4rl0Zp21AhOflFl6ttv6Ou","Reminiscence","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:0d6alfZHUx3xoRnPjkTL7Q","Ólafur Arnalds, Alice Sara Ott","spotify:album:4HA4XXhCzftKn9O59YnUwH","The Chopin Project","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:0d6alfZHUx3xoRnPjkTL7Q","Ólafur Arnalds, Alice Sara Ott","2015-03-16","https://i.scdn.co/image/ab67616d0000b2737b058b070489f44af7aef282","1","4","268146","","false","49","GBUM71406942","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:4WiqPbWvLbv317E8fB4SJC","Bathroom Dance","spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y","Hildur Guðnadóttir","spotify:album:16bF6lLLeVcBNgYNreGjYZ","Joker (Original Motion Picture Soundtrack)","spotify:artist:2lD1D6eEh7xQdBtnl2Ik7Y","Hildur Guðnadóttir","2019-10-02","https://i.scdn.co/image/ab67616d0000b27340f9225365aed3faf4eb1f00","1","13","128280","https://p.scdn.co/mp3-preview/abbf9549073998f9a3f8813e7260e516c0c20c9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USNLR1900407","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:51:57Z"
"spotify:track:2JvE8G9oewYIt2MKwbahtU","Ballade in C# Minor: Coronation","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","spotify:album:1JwpzZlvXcne1s9SNXhiEW","The King (Original Score from the Netflix Film)","spotify:artist:18oYqNtcLUHrqO7LfX7qni","Nicholas Britell","2019-11-01","https://i.scdn.co/image/ab67616d0000b273b5e9863f56e2f1e1556fbfa6","1","1","148786","https://p.scdn.co/mp3-preview/3b5e7b944f8297f1ce8e659f4ea906b0c3aee1db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QZ8BZ1900652","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-09T05:15:52Z"
"spotify:track:1lvSsfx62ETbCVO82I8m8k","Forsaken","spotify:artist:4laSA8avg7weycHmryv1fj","Adam Hurst","spotify:album:1c1R4Hn9zQoX5jTTcDSPhk","Nightfall","spotify:artist:4laSA8avg7weycHmryv1fj","Adam Hurst","2013-11-27","https://i.scdn.co/image/ab67616d0000b273f9249790d5c8b8f3c6be9768","1","3","174937","https://p.scdn.co/mp3-preview/5e68dfe8a11291edb365637288f1d46ad07956b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","usx9p1320357","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:3Oiebo5OzKkc51CIjTKjz6","Le tombeau de Couperin, M. 68: III. Forlane","spotify:artist:17hR0sYHpx7VYTMRfFUOmY, spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Maurice Ravel, Arseniy Gusev","spotify:album:6UNYlRzq1b0lBmjMcUsljB","Enfleurage","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","2023-04-26","https://i.scdn.co/image/ab67616d0000b273b68c8cb98a3a422def791d21","1","2","465279","https://p.scdn.co/mp3-preview/41402059448e26561e847cf98f5a8c39e1e233a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QM3DF2200884","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-18T18:09:12Z"
"spotify:track:6VZXOdoXUqjOBhRFTZF17R","Darkness to Light","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","spotify:album:5eGxD8NtsQXdXZNOBTtjfR","Kin Fables","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","2015-08-21","https://i.scdn.co/image/ab67616d0000b273462c26974dd4f19f5c74d3c2","1","10","221448","https://p.scdn.co/mp3-preview/5acdcd3941a1dcbc96853830629e58314a2fb49a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","CAU111600832","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:3pbjoXy4W5Tnh9KVRfSalE","Humanity Gone","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","spotify:album:0JA38Ekhsv43y2lBj5GQkQ","Hyperion","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","2019-03-08","https://i.scdn.co/image/ab67616d0000b273011a2f51fe757fafe13a0c2e","1","10","642186","https://p.scdn.co/mp3-preview/f749b252ae340ffbce4acb61c840156d199482af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USQX91803320","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-18T18:58:17Z"
"spotify:track:3NDBjR5U4c7etZBmZDj07C","Seven Teares: Pavan (Lachrimae antiquae)","spotify:artist:1mhwtKvBm1ncoOrUtnQUgk, spotify:artist:14Lewm6NkTHl5PGUzbFudC, spotify:artist:0QjKu8W5tafMCDKKw3xHYT","John Dowland, Patricia Kopatchinskaja, Saint Paul Chamber Orchestra","spotify:album:5aO2HbRL0FiJVfmiPukUes","Schubert: Death and the Maiden","spotify:artist:14Lewm6NkTHl5PGUzbFudC, spotify:artist:0QjKu8W5tafMCDKKw3xHYT","Patricia Kopatchinskaja, Saint Paul Chamber Orchestra","2016-10-14","https://i.scdn.co/image/ab67616d0000b2738d0279cd4ada8ad9cd8a4b60","1","4","177706","https://p.scdn.co/mp3-preview/b69033b137ac80faf10c509685e2160caf4f1969?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","FR50X1526504","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:26:19Z"
"spotify:track:6zWqdMuQAOywk4igNjgDLb","Fjörgyn","spotify:artist:0xzTfHbo1gs0SIKVe2qsHh","Osi And The Jupiter","spotify:album:64fNA8e4UyRpOFXpJcCGaG","Nordlige Rúnaskog","spotify:artist:0xzTfHbo1gs0SIKVe2qsHh","Osi And The Jupiter","2019-11-29","https://i.scdn.co/image/ab67616d0000b27310e49eeb071fa0c858dd70b3","1","1","360045","","false","3","USA2P1956496","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:4xumyW5ML8uOvZmDsc8rHL","Crimes of the Future","spotify:artist:0OcclcP5o8VKH2TRqSY2A7","Howard Shore","spotify:album:1KKkhpn8G1lPj6bmb1qMhe","Crimes of the Future (Original Motion Picture Soundtrack)","spotify:artist:0OcclcP5o8VKH2TRqSY2A7","Howard Shore","2022-06-10","https://i.scdn.co/image/ab67616d0000b2730c5c9e03485648dd343a5adc","1","1","130240","","false","34","USSKB2200001","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-18T09:27:50Z"
"spotify:track:7iCeOAJHWaeT88J6ZAuWHn","Heart Shaped Leaf","spotify:artist:3gAl49dGPSIUbkWbSJyIBs","Ursine Vulpine","spotify:album:5ODxaOJojCxzFgfjKsWUii","Respire","spotify:artist:3gAl49dGPSIUbkWbSJyIBs","Ursine Vulpine","2017-07-17","https://i.scdn.co/image/ab67616d0000b27375c4d54a9591addb0e38b0e4","1","8","173986","https://p.scdn.co/mp3-preview/76daa8e0c0791aa6c7ac3c9692cbc9bbedafd3a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBKPL1783124","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:6zw1ta1XaTJKm0jpEbZpq9","Prelude, Op. 11: No.2 in A Minor","spotify:artist:6nZiWg5ZB511S24WmB7TCV, spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Alexander Scriabin, Arseniy Gusev","spotify:album:6UNYlRzq1b0lBmjMcUsljB","Enfleurage","spotify:artist:0Cxzwf66gFnNRbOeLVIahi","Arseniy Gusev","2023-04-26","https://i.scdn.co/image/ab67616d0000b273b68c8cb98a3a422def791d21","1","14","147146","https://p.scdn.co/mp3-preview/71668d66a8f206c024a490bb15ee0157303fc03e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","QM3DF2200895","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T06:31:57Z"
"spotify:track:4VkFi1Ec1EuxTOySKRrxam","Caves","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","spotify:album:79RlsOpY6dmBLnYiHb8zaK","Seelie","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","2017-12-01","https://i.scdn.co/image/ab67616d0000b273edcf47b73864d841fa4edc56","1","1","88000","","false","0","CAU111705722","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:244zUPDZ1nb7kN9SrxgHGX","Magnificent, Isn't It","spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Benjamin Wallfisch","spotify:album:1JpTP5zaoj0ud6lLu3gqZ0","A Cure For Wellness (Original Soundtrack Album)","spotify:artist:2xOp0rCDPAmYqnL2UFbaDY","Benjamin Wallfisch","2017","https://i.scdn.co/image/ab67616d0000b273f27ebe77f03fd1ae980e9643","1","6","131200","https://p.scdn.co/mp3-preview/6336a5da6b79acb6043e59c6aa4468d1126817fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","US5941406688","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:02NdxbH23s4pfRLH4BRZMk","Edge of the World","spotify:artist:4f17kq6gTsEjyn9dJwJdPs","Sophia Damore","spotify:album:38QWMHzxcyJbsDoWnxI8PD","Edge of the World","spotify:artist:4f17kq6gTsEjyn9dJwJdPs","Sophia Damore","2023-05-31","https://i.scdn.co/image/ab67616d0000b273b4e2c289e9e8ce73de6766a3","1","1","156032","https://p.scdn.co/mp3-preview/7734e2e34c7ef2a895621c56aa31e349803411aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZK6J2344543","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-06-22T01:14:48Z"
"spotify:track:0OZQHGiEJ4Ra9uyPC7LiTF","Into the Light","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","spotify:album:2BhIDZrVtzZ5v9xY6KblYJ","The Lighthouse (Original Motion Picture Soundtrack)","spotify:artist:2sb1FcIeDcKtv7UC03gRr8","Mark Korven","2019-10-18","https://i.scdn.co/image/ab67616d0000b273a8a7c227723ecab6faa11f25","1","13","212453","https://p.scdn.co/mp3-preview/edaebfff8b28590a391e202c97870ee08320463f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USQX91902197","spotify:user:31qlxsoboup57wdfux6d23juzuqm","2023-05-20T05:48:37Z"
"spotify:track:4ynPMH9Ut4VUlljlQ8L1yy","Ajar","spotify:artist:5GHe2wbHyPb5RZbES8coHc","Mike Lazarev","spotify:album:1YBmoJU30FFM1sgITd6BXO","Unhinged","spotify:artist:5GHe2wbHyPb5RZbES8coHc","Mike Lazarev","2016-04-15","https://i.scdn.co/image/ab67616d0000b273e06d5e4ffac05d00cf678e57","1","8","146758","","false","36","SEYTP1608208","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:6XKJeTQuepYIuXJv2z7FKl","Messy Hearts","spotify:artist:7wZ9P3rnGF6i4TcmVLLiPN","Moon Ate the Dark","spotify:album:1M9vrm7fn1yWQsBLLsg1Gs","Moon Ate the Dark","spotify:artist:7wZ9P3rnGF6i4TcmVLLiPN","Moon Ate the Dark","2012-06-08","https://i.scdn.co/image/ab67616d0000b273bb7425759bbfa7af91689da6","1","6","550626","https://p.scdn.co/mp3-preview/17f212f06868e3d968fbc8dc7d00ba0c6367fef2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","DEX261281406","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:0cEJD4nout0TOxCU8QsqO4","The Stolen Child","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","spotify:album:79RlsOpY6dmBLnYiHb8zaK","Seelie","spotify:artist:0YN64WuO9KaKCUbTx8hNd0","CLANN","2017-12-01","https://i.scdn.co/image/ab67616d0000b273edcf47b73864d841fa4edc56","1","7","324000","","false","0","CAU111705727","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:6A0fNYStmpKHXhdRfSZ7M1","Initium","spotify:artist:6GFfu1alUSrL7qazImC160","Keaton Henson","spotify:album:0q7RpCkpZU6704mRmSH8WB","Six Lethargies","spotify:artist:6GFfu1alUSrL7qazImC160","Keaton Henson","2019-10-25","https://i.scdn.co/image/ab67616d0000b273b93a38a2890ad715da4a9dd1","1","1","573026","","false","29","GBUM71904143","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:4trFGwjCPmZxCgoJgxaFZX","Eyes Shut - Nocturne in C Minor","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:0d6alfZHUx3xoRnPjkTL7Q","Ólafur Arnalds, Alice Sara Ott","spotify:album:4HA4XXhCzftKn9O59YnUwH","The Chopin Project","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:0d6alfZHUx3xoRnPjkTL7Q","Ólafur Arnalds, Alice Sara Ott","2015-03-16","https://i.scdn.co/image/ab67616d0000b2737b058b070489f44af7aef282","1","6","401080","","false","35","GBUM71406944","spotify:user:","2023-05-18T17:49:41Z"
"spotify:track:6g0CyX7D4ZzZSiWGAax8WV","It Hears You","spotify:artist:7yAPsqNhqqsTGsuOSZJg0i","Marco Beltrami","spotify:album:1uoVeLc0offWVq235rWeo7","A Quiet Place (Original Soundtrack Album)","spotify:artist:7yAPsqNhqqsTGsuOSZJg0i","Marco Beltrami","2018-04-06","https://i.scdn.co/image/ab67616d0000b2730526bec0c313a86774b3d02a","1","1","268400","","false","0","US5941408747","spotify:user:","2023-05-18T17:49:41Z"
