"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6KHJTplNOsm1hVGzCCPZ7m","Silk","spotify:artist:5cxol8ruhBU1QpUick7A42","Giselle","spotify:album:4nTHHjECNVC9gLWKNUK9wB","Silk","spotify:artist:5cxol8ruhBU1QpUick7A42","Giselle","2012-04-13","https://i.scdn.co/image/ab67616d0000b273f6f9c120ca19be9e7628bbd2","1","1","192000","https://p.scdn.co/mp3-preview/fb394476c13531d95fc37212a9372fec5fc0eaf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USCGJ1262935","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:13pR0Vy22zw1in2Rd63TVn","Breathing Song","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:4eUxvQuguleFjUp01I6N36","Breathing Song / Honey","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2023-01-24","https://i.scdn.co/image/ab67616d0000b273bb657e92b26137d75ef5031d","1","1","193080","https://p.scdn.co/mp3-preview/19e77b6631a3fadf445ac3f49b5aa029a867d816?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QM5BK1900602","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3alP0rX4ErhOszTpx6sFN2","Favor","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b2733086e90166d3c2ca266b7c67","1","8","278213","https://p.scdn.co/mp3-preview/ef3838d8680bcb13e83a51497cd4170b44f2c6ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USMTD2000589","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3zHfLa9OyjM2mz3p590sDE","Affair with the Moon","spotify:artist:50g8sc9GhaIAhQDv2F62vy","Lidia Solomon","spotify:album:5gg8u6Qb65kOp8bpofNI8A","Affair with the Moon","spotify:artist:50g8sc9GhaIAhQDv2F62vy","Lidia Solomon","2023-06-07","https://i.scdn.co/image/ab67616d0000b273f6557c12f35d31cb33f0b501","1","1","230990","https://p.scdn.co/mp3-preview/563d171d1ab997cfebee43533ecccd2739ea6cda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QZVEM2328953","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:1arhLLK6PZNd5g4OupOJyZ","Light Blue","spotify:artist:4QkSD9TRUnMtI8Fq1jXJJe","Snail Mail","spotify:album:0zNWhYDalgisc4uweLIGZJ","Valentine","spotify:artist:4QkSD9TRUnMtI8Fq1jXJJe","Snail Mail","2021-11-05","https://i.scdn.co/image/ab67616d0000b27344a07a3d9215d05d665a018a","1","4","154213","https://p.scdn.co/mp3-preview/7a9d7387600634b7ca5f527a4017c29d9fbd09d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USMTD2100277","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:7FiiXwfEJnQ21sTktQ5gDm","Pressing Down","spotify:artist:40rYcgQG8MPbjZDOfDMzyC","Sister Ray","spotify:album:7tTD3rUp3MltWeCdwviCl0","Teeth","spotify:artist:40rYcgQG8MPbjZDOfDMzyC","Sister Ray","2023-05-12","https://i.scdn.co/image/ab67616d0000b273cddfc7d2e0a7a6c3478974b9","1","2","239917","","false","32","CAUM82200660","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:57j0Sqo4pZn8JBNPzDGitk","Stonecatcher","spotify:artist:3bYcjbVAN3rAuU3TMzw2mB, spotify:artist:1r1uxoy19fzMxunt3ONAkG","Marcus Mumford, Phoebe Bridgers","spotify:album:2PVuzlWu3Z7Af2y9O2Gppk","(self-titled)","spotify:artist:3bYcjbVAN3rAuU3TMzw2mB","Marcus Mumford","2022-09-16","https://i.scdn.co/image/ab67616d0000b2731ba1ac366c0ac5ee2ce5736b","1","9","222493","","false","38","GBUM72203345","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5w52BJAqGkV1ewaCVLmjhi","Smoke Signals","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:0qWcLfCZ8wtcoOdX14oGNI","Stranger in the Alps","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2017-09-22","https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8","1","1","324773","https://p.scdn.co/mp3-preview/adc4fa7d3a4afe8a9a408d5f11af8d744105f275?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","TCACW1749848","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:51v6YXR8V6aYLRWsIsFjoU","Too In Love To Die","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","spotify:album:5PtvMQZ7Wy4IsoXTszkH8B","PRE PLEASURE","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","2022-08-26","https://i.scdn.co/image/ab67616d0000b273b246269ed2b5d4d11f11ee2a","1","5","215795","https://p.scdn.co/mp3-preview/a5094a32a1e5853cbb65527e968680c5e8972a57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","US3R42246405","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:2Ggr9IfS70wYQacW8nZKPG","labour","spotify:artist:2EXpthNgSeTDeX8nGwxppp","Paris Paloma","spotify:album:4h7ERA3MzqEh9B3edziLAn","labour","spotify:artist:2EXpthNgSeTDeX8nGwxppp","Paris Paloma","2023-03-23","https://i.scdn.co/image/ab67616d0000b273afcb0b97ababb33ca367917e","1","1","237744","https://p.scdn.co/mp3-preview/3a21b7883d37695b22c9a4d829c1930bb883293b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","CAN112300498","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5EDBVVqd2ogoG89XVQOvsn","yellow is the color of her eyes","spotify:artist:4wXchxfTTggLtzkoUhO86Q","Soccer Mommy","spotify:album:2CISL0rSGzbO0MbQMlqBez","color theory","spotify:artist:4wXchxfTTggLtzkoUhO86Q","Soccer Mommy","2020-02-28","https://i.scdn.co/image/ab67616d0000b273c330e261afcd6e0ae256f3aa","1","6","435080","","false","55","USC4R1902900","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:0MYm41WIh9hIRNDc20LPpb","Orange Juice - Spotify Singles","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan","spotify:album:6WdZ6j0Mm6fOzpyHXKx8PP","Spotify Singles","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan","2023-05-10","https://i.scdn.co/image/ab67616d0000b27300a9cd2d0e59a8d605ff66fd","1","1","292658","","false","62","USUM72306406","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:27kWVlrIBpEsEugNrBNd9c","Private Life","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","spotify:album:4VPPGtD8UErhmPMKixf5Qx","Private Life","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","2023-05-02","https://i.scdn.co/image/ab67616d0000b27324289830d8344a8a5e536d76","1","1","207297","https://p.scdn.co/mp3-preview/3e4e6e9861a7bb80d1bef306db7f3a67fdebf21a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USFP72382304","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5KkoM9rbevlWf8EePOrwfS","Drinking Song","spotify:artist:73MDShZzdL4vUGMkmXOG6X","Haley Heynderickx","spotify:album:4I8BEAiq1kPqRRlvWLTo5B","I Need to Start a Garden","spotify:artist:73MDShZzdL4vUGMkmXOG6X","Haley Heynderickx","2018-03-02","https://i.scdn.co/image/ab67616d0000b2732590c2d33bd70c8bf059591b","1","8","195845","https://p.scdn.co/mp3-preview/c595e844b955f1db8fe83cc77fdd1582c3b63f14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","QMFW91700135","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:1zShh2S3moxyqU6u6fJZVQ","Letter To An Old Poet","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","12","187653","","false","70","USUG12209248","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5bIgzvxvlefRUCQK9JPocF","Garden Song","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:6Pp6qGEywDdofgFC1oFbSH","Punisher","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2020-06-18","https://i.scdn.co/image/ab67616d0000b273a91b75c9ef65ed8d760ff600","1","2","219681","https://p.scdn.co/mp3-preview/2c160399d415197131c74f708633a9ebff88dad3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USJ5G2020002","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:0FSOenCj42lbikl1vd5ah9","Cool Girl","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:0TCc51KQYlnJ6WuFOgN6hI","Cool Girl","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2020-10-19","https://i.scdn.co/image/ab67616d0000b273a84104d3ff94d104ee6bad0b","1","1","199384","https://p.scdn.co/mp3-preview/1e731bad505741d8016eda52d404d53d5999334f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QMBZ92045175","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5L3FlmnCvJY2SN2jzvUwxL","Means Something","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","spotify:album:63ButSDtUefzCmdE3AXdor","Give Me A Minute","spotify:artist:1GmsPCcpKgF9OhlNXjOsbS","Lizzy McAlpine","2020-08-13","https://i.scdn.co/image/ab67616d0000b27351ea7c73086ca901d759ab79","1","8","144631","https://p.scdn.co/mp3-preview/84c0bcd96215c51a645794e504affa395b6f5ecd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBKPL2097424","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3Maqlu2aPlU8NluW19O8JD","Paper Mache World","spotify:artist:76oY04bOzECod3aGVTDtzu","Matilda Mann","spotify:album:4t4kHyQ0DvmfYYHJITb9l8","Because I Wanted You to Know","spotify:artist:76oY04bOzECod3aGVTDtzu","Matilda Mann","2020-11-20","https://i.scdn.co/image/ab67616d0000b27391bcbe26e804cc00f7bce26b","1","5","179083","https://p.scdn.co/mp3-preview/e8edfc641bb5bf3f416db50f4ab09c67d18abd3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QMFME2000719","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3pQ6Kt50YY8pnjwXK1z3Xm","Shower Song","spotify:artist:1iOQiPT8N1MQbdUaTaefyZ","tofusmell","spotify:album:3u1u4dS5Y0PwqUPxShxRke","Shower Song","spotify:artist:1iOQiPT8N1MQbdUaTaefyZ","tofusmell","2022-06-30","https://i.scdn.co/image/ab67616d0000b273f94ac2a61a116397573c4e89","1","1","167505","https://p.scdn.co/mp3-preview/a4c9f3066e403ac06290000b68bd5ea7163ae3d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USHF32215801","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:4FAuCkNkIlQnqfZiu60xd6","Places/Plans","spotify:artist:1GUaQ6GpaxFPKZ0SCSsnwD","Skullcrusher","spotify:album:5pUNogl9gZPjnSkpfT8jxu","Skullcrusher","spotify:artist:1GUaQ6GpaxFPKZ0SCSsnwD","Skullcrusher","2020-07-24","https://i.scdn.co/image/ab67616d0000b2737e84d68633248012dfeec8a7","1","1","183116","https://p.scdn.co/mp3-preview/2cc83a83fa8ee39288ded86d00eef4e6f3150d2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBKPL1979152","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5PJH1U5Iie893v48Fl9yaC","Cool About It","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:0e9GjrztzBw8oMC6n2CDeI","the record","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2023-03-31","https://i.scdn.co/image/ab67616d0000b27343fc02bcfa7cd4e6bb66aa22","1","5","180000","","false","79","USUG12209241","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:7tktvSIhAG4DIwVHTRUWnr","Body","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","spotify:album:4hW2wvP51Myt7UIVTgSp4f","Crushing","spotify:artist:12fRkVfO2fUsz1QHgDAG3g","Julia Jacklin","2019-02-22","https://i.scdn.co/image/ab67616d0000b273b7d35506e6a2b6e524c43814","1","1","307613","https://p.scdn.co/mp3-preview/a719e378c65421acd76a22e5d4c76e8c5e634931?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBKZV1800115","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:1qFb85QhwOqpnAKh7ahsGQ","Smother","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","spotify:album:74ShfU6i2GfPyqwdc5uGl7","If You Leave","spotify:artist:46CitWgnWrvF9t70C2p1Me","Daughter","2013-03-18","https://i.scdn.co/image/ab67616d0000b2732baa927782b9fa829c66b8d1","1","2","241466","https://p.scdn.co/mp3-preview/4965d9502448bcf91e5d10ad41a9da37a16cefd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBAFL1200259","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:2kFyCHyFejiVShz10BILgU","Power","spotify:artist:1hElmDU1PFIf4JbkdOcMRE","Annahstasia","spotify:album:2VjbYwRMFgUqBidz9hFb3D","Revival","spotify:artist:1hElmDU1PFIf4JbkdOcMRE","Annahstasia","2023-04-27","https://i.scdn.co/image/ab67616d0000b273f20369b4d560e2350d39971a","1","3","168175","https://p.scdn.co/mp3-preview/e0325bb545e17d729a52e64b090fb2d84ff2877d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZK6G2284304","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5afKJ9yqFQ5L2FxuGiZMPQ","Over Those Hills","spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","Hayley Williams","spotify:album:3JSvIZCtxK4fUywBK41129","FLOWERS for VASES / descansos","spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM","Hayley Williams","2021-02-05","https://i.scdn.co/image/ab67616d0000b273a755c6bb21be30245178a32d","1","5","191949","https://p.scdn.co/mp3-preview/12f1492fa617b7811fc119087d913f3d23901e73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USAT22100225","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:4rkUQKlWrCM6DiYRFqybdZ","Someone New","spotify:artist:0BJeP79i5wKgCqsEEiQ7G0","Helena Deland","spotify:album:6gwAAOZeKLYDAPzSSP4SCa","Someone New","spotify:artist:0BJeP79i5wKgCqsEEiQ7G0","Helena Deland","2020-10-16","https://i.scdn.co/image/ab67616d0000b273715e6a66ed53e1ac0e14161e","1","1","229501","https://p.scdn.co/mp3-preview/af9ec99c095ebda0bfc922bc2fdbd46b6ec6ae2f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","QM6MZ2028926","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:6jF6VwQeIiy18FUH0wuIQN","Garden of Eden","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","spotify:album:3pw1gb17EJ7ILSm9b28ZgQ","Garden of Eden","spotify:artist:02YLJJnWC7YQVixkjEBRn7","Billie Marten","2021-01-28","https://i.scdn.co/image/ab67616d0000b273930c7be82461db462d2e0f87","1","1","199480","","false","38","GBUM72005706","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:0q0Vlb5g3DV8pysqIllbiR","Everything Everything","spotify:artist:3KlPjpVKfm6vESPL46NDCh","Indigo Sparke","spotify:album:6akscmS833btWR5O7F5BMJ","Echo","spotify:artist:3KlPjpVKfm6vESPL46NDCh","Indigo Sparke","2021-02-19","https://i.scdn.co/image/ab67616d0000b2732a8081249b6090274b9d4823","1","9","206950","https://p.scdn.co/mp3-preview/a17bc720eb2738b376dd384594a4dae9828922c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","AUSXI1900009","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:0HVxfx5x8dZSTaK7EnIByn","Swimming","spotify:artist:1Y3IqLN3JkfppIbJG2IWHk","Maple Glider","spotify:album:0TyGoqeYSQepO17jg08VvK","To Enjoy is the Only Thing","spotify:artist:1Y3IqLN3JkfppIbJG2IWHk","Maple Glider","2021-06-25","https://i.scdn.co/image/ab67616d0000b2730b3f2caed60c2999403c02ff","1","2","252413","https://p.scdn.co/mp3-preview/48082e55c9e28e8ef0eb1040e6474edca2310799?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","AUVWE2000760","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:52k45PRM4dPM8r4JLsmfVo","Kill Her Freak Out","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:3em3bEmd56ykqk9Hc8TYt1","Kill Her Freak Out","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2022-09-27","https://i.scdn.co/image/ab67616d0000b27320dc796289af73fe7e7c221e","1","1","260013","https://p.scdn.co/mp3-preview/f1f643b99269624a0797c0ddc945d7d7768e1e26?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","QM5BK1900596","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:21JL0gpeAYgbSUmzhgSPJz","Souvenir","spotify:artist:1hLiboQ98IQWhpKeP9vRFw, spotify:artist:12zbUHbPHL5DGuJtiUfsip, spotify:artist:1r1uxoy19fzMxunt3ONAkG, spotify:artist:07D1Bjaof0NFlU32KXiqUP","boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","spotify:album:6RjlLIuDFC8Dw91yRAdPz9","boygenius","spotify:artist:1hLiboQ98IQWhpKeP9vRFw","boygenius","2018-10-26","https://i.scdn.co/image/ab67616d0000b273aaf249e10efa3f8897df2697","1","3","212467","https://p.scdn.co/mp3-preview/aa2cfa1c117d33a0d0458f7412dad2e70217c103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USMTD1812083","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:4foKnVvnAHmQYbONUcbgkK","untitled","spotify:artist:5j0GrXECgqyWvysNyBN0CP","Rachael Jenkins","spotify:album:4Xweu1d5gXbscOXhIRMLUT","untitled","spotify:artist:5j0GrXECgqyWvysNyBN0CP","Rachael Jenkins","2021-03-26","https://i.scdn.co/image/ab67616d0000b273a39a1f70aaf42dd6e77bf989","1","1","225640","https://p.scdn.co/mp3-preview/8d2854f3166c0093c8a5173fbc48e525679dd9f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USA2P2108222","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3tML0isKJJ3DJUQKcm3L0e","The Man Who Sees Tomorrow","spotify:artist:57qPRqUfnRY0KJtO5lrjWL","Uwade","spotify:album:6wEU7UQkhZSuLZLdVt2ypQ","The Man Who Sees Tomorrow / Lodarore","spotify:artist:57qPRqUfnRY0KJtO5lrjWL","Uwade","2021-04-16","https://i.scdn.co/image/ab67616d0000b27350d45940ae72e302bbe07206","1","1","211733","https://p.scdn.co/mp3-preview/59662ebf2bcefb897e1fb991fd1825d89d62683d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QZES92102453","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:5mgWktGBliaIdAaBtZ8ff3","damn","spotify:artist:3sE8O47mEFWR6pL0rwnAHy","Ada Lea","spotify:album:0ulrUoMnkAdxqX80c0dkfF","one hand on the steering wheel the other sewing a garden","spotify:artist:3sE8O47mEFWR6pL0rwnAHy","Ada Lea","2021-09-24","https://i.scdn.co/image/ab67616d0000b273acddc5a09b8cb4730995b60a","1","1","261173","https://p.scdn.co/mp3-preview/2756e06c5be5ab7c57bb8edcd6ed5ef22abb8b43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","US2U62130601","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:0W3hYZhMQlXxJFMbcU3OKe","It's Infinite","spotify:artist:6zcDLZ62JsbVM1nLrQMzi4","Lomelda","spotify:album:0xKBSA1TCEAauJkd3s6gfY","Hannah","spotify:artist:6zcDLZ62JsbVM1nLrQMzi4","Lomelda","2020-09-04","https://i.scdn.co/image/ab67616d0000b273c979ea1494139b3704bd362b","1","9","174465","https://p.scdn.co/mp3-preview/e9b42342e819c929d3c8d013aa7858bb5dae3e64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZAZS2007309","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:7jd2h2mIeyKpqkFsrl5EHN","Warped Window","spotify:artist:52HjDHLlkCYt5Pemr9wefL","Anna Mieke","spotify:album:5jz07RajgJtqxfBAwWULOW","Idle Mind","spotify:artist:52HjDHLlkCYt5Pemr9wefL","Anna Mieke","2020-09-18","https://i.scdn.co/image/ab67616d0000b273d8dc243317a8da67efd1b7d5","1","3","295265","https://p.scdn.co/mp3-preview/cebe211cbbc227ccebe25867a2c593ac0f3c1ba8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","IEPVX1900008","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:1n96oXchJtgq5FGyvVLrvE","Is There Something in the Movies?","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:7faAwJDTt9Y8kVAcSHy9Y6","The Baby","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2020-08-28","https://i.scdn.co/image/ab67616d0000b27346ec83ab9efeb7bdb01d78b6","1","11","210173","https://p.scdn.co/mp3-preview/e2490dbe8be6f1bdfb4b2a29b3a322b7859d1cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM5BK1900335","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:79pcC3KJRMA2L8xIb5mu3G","Thumbs","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","spotify:album:0lNq65nJ30VwPv6nzmVbhc","Thumbs","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","2021-03-09","https://i.scdn.co/image/ab67616d0000b2738c06d94fe7fe2ad28a5422ca","1","1","265440","https://p.scdn.co/mp3-preview/31fda222e422ad7a3b0d7bdabfcfa4870f1429b1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","USMTD2100007","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3ZWtCPAWcE7hh00mjQDOXq","Everything I had","spotify:artist:0UIQXpn5oXhmpgbUDFzaLb","Sun June","spotify:album:3tqWpScYda0eUqExXOqQnm","Somewhere","spotify:artist:0UIQXpn5oXhmpgbUDFzaLb","Sun June","2021-02-05","https://i.scdn.co/image/ab67616d0000b2734db951a53728297a96bed4ba","1","2","246666","https://p.scdn.co/mp3-preview/0bfad930eec18f49f2bf4a57d57c8c2a09f15bef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QMCE71302872","spotify:user:","2023-06-16T04:00:00Z"
"spotify:track:3pEGK96mXlfsavPTQdUHOr","Vampire Weeknight","spotify:artist:52mkFCABBeP3KjkWFA4M2H","Jenny Owen Youngs","spotify:album:6tpPh09H0rTNtFsKCzNtfV","Vampire Weeknight","spotify:artist:52mkFCABBeP3KjkWFA4M2H","Jenny Owen Youngs","2019-07-26","https://i.scdn.co/image/ab67616d0000b273ebf468f42e55add45199fb29","1","1","204973","https://p.scdn.co/mp3-preview/d9ff424de715a495fcf28034f4357960dfbf6d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QZFYZ1961403","spotify:user:","2023-06-16T04:00:00Z"
