"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4bxSoFQl2ExbgPLSj24UDH","Adimiz Miskindir Bizim","spotify:artist:6vcAsqIwBdhb4BRZEumnFv","Mazhar Ve Fuat","spotify:album:0FAugj2VEkZGkjhalQgu9Q","Christophe Lemaire And Now-Again Present: Where Are You From?","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-10-18","https://i.scdn.co/image/ab67616d0000b273b6a2f8bab4cdab55274de182","1","7","325320","https://p.scdn.co/mp3-preview/a0ead0bae40fe60e0b26ae17a38ac5f0557462c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US2S71173007","spotify:user:yigitardasen","2019-04-08T18:00:14Z"
"spotify:track:1D2PnLTsRJKQwO1cNTcUNS","Deniz Üstü Köpürür","spotify:artist:422XRyh8cTAry2xsyCMlWA, spotify:artist:5Nb1W1vGOBrPwwwVzjYsk6","Ünol Büyükgönenç, Kardaslar","spotify:album:454UNuR2e4uWAFO17uM62T","Uzelli Psychedelic Anadolu","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-03-17","https://i.scdn.co/image/ab67616d0000b2732a104d9286e7cc16a3d65987","1","8","379500","https://p.scdn.co/mp3-preview/f5c8c7df0cc16e04b97821b6103267f3762a6b71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TR0380601416","spotify:user:yigitardasen","2019-04-08T18:00:17Z"
"spotify:track:2cJhhpxflevAtPFku1kxID","Gurbet","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:6LnGhVLzQPFRJtRKvlNKg8","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b273f0e41bd269bd8f48bdb3a677","1","6","206506","https://p.scdn.co/mp3-preview/7bb8e7a68536ed8ca11396fc259cde293ef4b533?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","TR5940800070","spotify:user:yigitardasen","2019-04-08T18:00:20Z"
"spotify:track:13LTrniyBIoCs859zvsXDj","Krallar (Kings)","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:6GGkLeS1HTtr45DlF8YHYN","Meçhul: Singles & Rarities","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","2012-06-19","https://i.scdn.co/image/ab67616d0000b2739e882f9b3fcb22ebf0884a12","1","6","241280","","false","0","QMQQH1200133","spotify:user:yigitardasen","2019-04-08T18:00:40Z"
"spotify:track:2rXOVadkCc5M14yT2O4nnT","Dadaloğlu","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3CS1HVfrxRzkFsuTvfmruO","Ölümsüzler, Vol. 3","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","2016-02-05","https://i.scdn.co/image/ab67616d0000b27393a8febc4f7721518af587fe","1","2","278506","","false","0","TR0801601707","spotify:user:yigitardasen","2019-04-08T18:00:45Z"
"spotify:track:7k4SvSFGivwaBKozkt1mcx","Sevenler Ağlarmış","spotify:artist:2EgONoO8gQPmF5bh4IxxPD","3 Hürel","spotify:album:6e5kwMqCbFAivUHam9CyhG","3 Hürel (Türk Pop Tarihi)","spotify:artist:2EgONoO8gQPmF5bh4IxxPD","3 Hürel","1999","https://i.scdn.co/image/ab67616d0000b273055d53d22c851d0c7882660b","1","1","353693","","false","0","TR0280602085","spotify:user:yigitardasen","2019-04-08T18:00:53Z"
"spotify:track:5pAQzGmPfgwLVLEvC45fgc","Namus Belası","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","spotify:album:57qVo9cd27mnypnyBzCAMV","Anısına, Vol. 2","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1998-05-04","https://i.scdn.co/image/ab67616d0000b273742df87803712d41e58d6c62","2","1","264813","","false","0","TR0800600595","spotify:user:yigitardasen","2019-04-08T18:00:59Z"
"spotify:track:0S6B86FuJzQLGAXv2ncRdj","İnce İnce Bir Kar Yağar","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","spotify:album:1tGD7F5QarewUJKxRH2oYB","Türkülerimiz 2 - Mehmet Emmi","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","1996-01-01","https://i.scdn.co/image/ab67616d0000b273746f0caf69e0973efe6f9896","1","4","224261","","false","0","TR7340800189","spotify:user:yigitardasen","2019-04-08T18:01:09Z"
"spotify:track:7uNnQ6qdeE894q2BphSHQf","Beni Siz Delirttiniz","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:3FFPhZmOPdsIhmCRg8brsh","Cem Karaca, Dervişan","spotify:album:2FSUzd3PwWgeDe8AeF0SKQ","Parka","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:3FFPhZmOPdsIhmCRg8brsh","Cem Karaca, Dervişan","1977-02-01","https://i.scdn.co/image/ab67616d0000b2733308d7659f83a9f6509f9477","1","3","188746","","false","0","TR0801501531","spotify:user:yigitardasen","2019-09-23T18:35:26Z"
"spotify:track:6YixzDiJA4asJwEcY7xUdI","Yaz Gazeteci Yaz","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","spotify:album:1tGD7F5QarewUJKxRH2oYB","Türkülerimiz 2 - Mehmet Emmi","spotify:artist:2NGRETzxjeN4b9o3OGY6Yn","Selda Bağcan","1996-01-01","https://i.scdn.co/image/ab67616d0000b273746f0caf69e0973efe6f9896","1","1","166400","","false","0","TR7340800186","spotify:user:yigitardasen","2019-04-08T18:01:25Z"
"spotify:track:6UJqoltik4t5SZ1OMkP2qL","Alageyik Destanı","spotify:artist:5dMPhj9s9v91MpdGNpInLy","Moğollar","spotify:album:4IhM2wM7lFniGgJiCgqSMf","Alageyik Destanı / Moğol Halayı","spotify:artist:5dMPhj9s9v91MpdGNpInLy","Moğollar","2015-11-27","https://i.scdn.co/image/ab67616d0000b27388e60723b27ff33970f0aa7f","1","1","182360","","false","0","TR0801501580","spotify:user:yigitardasen","2019-04-08T18:03:38Z"
"spotify:track:3ZIwSZlI3bmZrgMVF93O1A","Bu Son Olsun","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:70ML3jWpr87MfL2ryYnR0h","Anadolu Rock Efsaneleri","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","2015-11-20","https://i.scdn.co/image/ab67616d0000b2734c260e4c564b3b520a4a787c","1","5","168000","","false","0","TR0801501213","spotify:user:yigitardasen","2019-04-08T18:04:02Z"
"spotify:track:2QVeRmW2y5Ivz8LaWaCXHe","Deniz Üstü Köpürür","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","spotify:album:2mUBwJHiZ8jVFuZ7O3ZV1b","2.2.1973 Ankara","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","2016-02-02","https://i.scdn.co/image/ab67616d0000b273643234788dd6a62a6842df6c","1","4","248506","","false","5","TRAIF1600004","spotify:user:yigitardasen","2019-08-27T19:14:35Z"
"spotify:track:46X0rddXGD4C5CJOBmHQqD","Tamirci Çırağı","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:3FFPhZmOPdsIhmCRg8brsh","Cem Karaca, Dervişan","spotify:album:57qVo9cd27mnypnyBzCAMV","Anısına, Vol. 2","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1998-05-04","https://i.scdn.co/image/ab67616d0000b273742df87803712d41e58d6c62","2","7","298253","","false","0","TR0800600594","spotify:user:yigitardasen","2019-09-11T19:02:36Z"
"spotify:track:7mtlmKK5yYjklQiZpUUO6b","Resimdeki Gözyaşları","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:4HBAW9IRVI76l0Io0XgkeI","Cemaz-Ûl-Evvel (Güldeste)","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1994-11-01","https://i.scdn.co/image/ab67616d0000b273965db460795c159a8acb4fd1","1","8","185213","","false","0","TR0330600221","spotify:user:yigitardasen","2019-08-28T17:23:29Z"
"spotify:track:5uTehh2WNlbAVtynRh1ms4","Obur Dünya","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:64Ee7pIYN3XuAuhHWcvfgB","Cem Karaca'nın Apaşlar, Kardaşlar, Moğollar, Ferdy Kleine'a Teşekkürleriyle","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","2016-01-01","https://i.scdn.co/image/ab67616d0000b273e7b86bff898760ae2ad1283c","1","12","175013","","false","0","TR0801501516","spotify:user:yigitardasen","2019-08-28T17:23:43Z"
"spotify:track:55DAXeV1Z6sduU8XOgpXwB","Trip (Fairground)","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","spotify:album:3BOjGdJ0JYsgz7kj0z8UGx","Trip (Fairground)","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","2019-05-02","https://i.scdn.co/image/ab67616d0000b2733e22838098032a509c1ec671","1","1","184300","","false","0","GBKQU1939012","spotify:user:yigitardasen","2019-12-01T15:25:58Z"
"spotify:track:7LJTY9KfiO7ziHv3e4jBgE","Susanna","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","spotify:album:6lSNwb8tKgNKixf71RLXHy","Susanna - Fairground","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","2019-08-28","https://i.scdn.co/image/ab67616d0000b27332d464e0a07d5596bf4ac907","1","1","190552","https://p.scdn.co/mp3-preview/e3d17356c80b54236e6de5b8bb26f8b0bedbdbb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","BGA471918989","spotify:user:yigitardasen","2019-09-14T08:30:31Z"
"spotify:track:5MAv1RGwsagnfxgzB1nYqz","Seni Her Gördüğümde","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:3pJ9WVk6gzk3mgNjecQf35","Mesafeler","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","1974","https://i.scdn.co/image/ab67616d0000b273f267e506a657f09cb83b4ad8","1","8","199173","https://p.scdn.co/mp3-preview/dde7de1efc26e3144a3375032ab66e82fd5cf513?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QMDA61513362","spotify:user:yigitardasen","2019-10-25T18:18:26Z"
"spotify:track:1L5FITTucEaG9W7Pg4m7QV","Sen De Başını Alıp Gitme","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3PSyrlVBnfslRIK86DADyZ","Nerde Kalmıştık","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:0aUFnapWUvRIYJL6i3Jf60, spotify:artist:0IC6wyVbuOfljWMo1SY8k3","Cem Karaca, Cahit Berkay, Uğur Dikmen","1992-10-21","https://i.scdn.co/image/ab67616d0000b27397b3678d172796042a596ef4","1","5","275330","","false","0","TR8571000552","spotify:user:yigitardasen","2019-09-23T19:06:18Z"
"spotify:track:6mxk16qj6voBakMjXQr1o4","Alla Beni Pulla Beni","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","spotify:album:2Q99eFm7S7q7ji5Kiqz6ik","Hal Hal","spotify:artist:3eVuump9qyK0YCQQo4mKbc","Barış Manço","1989-12-22","https://i.scdn.co/image/ab67616d0000b2734c7b3d7060578016a82a8a8d","1","3","245840","","false","0","TR0070501070","spotify:user:yigitardasen","2019-09-23T19:08:36Z"
"spotify:track:3dU6A01Y1HBmz0zGlLMEe2","Adsız","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3r3z2W9t1kk0b216L4i37t","Nem Kaldı?","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","1975-01-01","https://i.scdn.co/image/ab67616d0000b273ac09c94060e273e5dd65b727","1","4","220373","","false","0","TR0801501520","spotify:user:yigitardasen","2019-09-25T16:27:35Z"
"spotify:track:62fJOsSuBacW2J1oCMZi7X","Çığrık","spotify:artist:5dMPhj9s9v91MpdGNpInLy","Moğollar","spotify:album:7w9kXh4ta7QRxm9lQoF659","Anadolu Pop","spotify:artist:5dMPhj9s9v91MpdGNpInLy","Moğollar","1995-06-15","https://i.scdn.co/image/ab67616d0000b273d0c805a408028ee80396bfdd","1","16","199066","https://p.scdn.co/mp3-preview/dc04bdb92b152b6f2b8f03cd6b2beb2139ceba04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TR0800600028","spotify:user:yigitardasen","2019-10-05T07:56:55Z"
"spotify:track:4nNIaELCLoa9R5sQKFePLN","Binboganin Kizi","spotify:artist:3eVuump9qyK0YCQQo4mKbc, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Barış Manço, Moğollar","spotify:album:19wZsHRtQ7z1lh2QyoH7Xf","Istanbul 70 - Psych, Disco, Folk Classics","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-05-22","https://i.scdn.co/image/ab67616d0000b273e695a95c97a66c8de51f4658","1","13","353400","","false","0","USBDW1100051","spotify:user:yigitardasen","2019-10-05T08:09:39Z"
"spotify:track:6i6q8YgImRP95bZBuZEQ1n","Burçak Tarlası","spotify:artist:0ieiygH07boIlZyMtupW4Q","Tülay German","spotify:album:4g4XIHKWD31jv4jF6h85Fa","Burçak Tarlası","spotify:artist:0ieiygH07boIlZyMtupW4Q","Tülay German","2000-05-09","https://i.scdn.co/image/ab67616d0000b2730ad55b3de691748867f9224b","1","1","213306","https://p.scdn.co/mp3-preview/abfaf79b992871d22a923d667dbd0b907e31bad4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TR0330603015","spotify:user:yigitardasen","2019-10-05T15:52:56Z"
"spotify:track:4YRlEMSoIJaqANng3FlMb7","Herkes Gibisin","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI","Cem Karaca","spotify:album:3PSyrlVBnfslRIK86DADyZ","Nerde Kalmıştık","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:0aUFnapWUvRIYJL6i3Jf60, spotify:artist:0IC6wyVbuOfljWMo1SY8k3","Cem Karaca, Cahit Berkay, Uğur Dikmen","1992-10-21","https://i.scdn.co/image/ab67616d0000b27397b3678d172796042a596ef4","1","8","241946","","false","0","TR8571000555","spotify:user:yigitardasen","2019-10-22T18:39:26Z"
"spotify:track:0pnC8KYOumEqzYDALFQNAL","Olmalı mı Olmamalı mı","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","spotify:album:4lY2085XvdezeHAbLPJvp3","Benimle Oynar Mısın","spotify:artist:1eY7YyYjc9jGnsHdJka906","Bülent Ortaçgil","1993-04-15","https://i.scdn.co/image/ab67616d0000b2731e2894867258adc2a562384f","1","3","131400","https://p.scdn.co/mp3-preview/ad348f8861b7c270096191c26ed98d829ce2bd0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","TR5460700086","spotify:user:yigitardasen","2019-10-30T16:27:34Z"
"spotify:track:7hbYjmiq3ULLgLWhwBDo44","Cemalim","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:0pXdfQZDaBvjUtfpjo0dC0","Istanbul 70: Psych, Disco, Folk Edits by Baris K - Vol. I","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-08-02","https://i.scdn.co/image/ab67616d0000b2738f83f30e65345f24c56a05ad","1","1","356973","","false","0","USBDW1100039","spotify:user:yigitardasen","2019-10-26T12:51:55Z"
"spotify:track:35telNUL06XdKWZjxZx8Zr","Hudey Hudey","spotify:artist:49cht9n59NXoBFK1gIolXJ","Asu Maralman","spotify:album:2LTo4VkeRfaUKwxzpddC8C","Asu Maralman (Türk Pop Tarihi)","spotify:artist:49cht9n59NXoBFK1gIolXJ","Asu Maralman","2000-11-03","https://i.scdn.co/image/ab67616d0000b273e87689be8427f1ae2b9babdc","1","10","186760","","false","0","TR0280602158","spotify:user:yigitardasen","2019-11-03T16:43:05Z"
"spotify:track:5UETCPszbJ7emNHHBnlybe","Zühtü","spotify:artist:4ATXCu84e0P0q5QLzkMsaT","Esin Afşar","spotify:album:6AsiMh7yiu6KzZE1wXT0pt","Odeon Yılları","spotify:artist:4ATXCu84e0P0q5QLzkMsaT","Esin Afşar","2010-12-14","https://i.scdn.co/image/ab67616d0000b273f966c4055ad632d304c3f69a","1","1","213866","","false","0","TR0490700598","spotify:user:yigitardasen","2019-11-03T18:07:56Z"
"spotify:track:1vgTvzhIF6ymOCZYYyF76z","Meçhul (Unknown)","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:6GGkLeS1HTtr45DlF8YHYN","Meçhul: Singles & Rarities","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","2012-06-19","https://i.scdn.co/image/ab67616d0000b2739e882f9b3fcb22ebf0884a12","1","1","226506","","false","0","QMQQH1200128","spotify:user:yigitardasen","2019-11-03T18:16:59Z"
"spotify:track:0EPwGDvBxeF3W9g8098AIn","My Delight","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:1K1OjhtOGsp5lpPdjCXBj2","Allah Aşkına","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","1979-05-03","https://i.scdn.co/image/ab67616d0000b273b2103471d6f52b8316db3cdb","1","4","201317","https://p.scdn.co/mp3-preview/6c48cc4d3acb6c168c8c3b7cfec4bb6a5da5ed86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TR0300600737","spotify:user:yigitardasen","2019-11-05T18:15:18Z"
"spotify:track:3aznGlfPJr0gv755WiHIri","Bağrı Yanık Dostlara","spotify:artist:49cht9n59NXoBFK1gIolXJ","Asu Maralman","spotify:album:4VQLUw7w4et0lhJRjQTxfM","Bir Zamanlar Özel, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-05-04","https://i.scdn.co/image/ab67616d0000b273f1e13d9b61b7fc5c7f5cffd6","1","1","312600","","false","0","TR2611000906","spotify:user:yigitardasen","2019-11-10T16:13:36Z"
"spotify:track:08phlQI1HKmRcwmY3yNOTS","Yalnızlar Rıhtımı","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","spotify:album:7fmkRO1C2lLXlaSMg6O6dx","Şaşkın / Dünden Esintiler, Vol.1","spotify:artist:4o3Nv2BAyoZkyGaRXv4rT3","Erkin Koray","1993-08-18","https://i.scdn.co/image/ab67616d0000b2735c0391a0dac5abb876f3abd9","1","2","278173","","false","1","TR3340600012","spotify:user:yigitardasen","2019-11-14T19:44:24Z"
"spotify:track:76UvsjXK7X0Y7P9lZcuS6u","Leylim, leylim","spotify:artist:6RXvZtTyld421VPmJtLqkL","Fikret Kızılok","spotify:album:6E8oCLz22YyRzB9TiVvlfO","Gün Ola Devran Döne","spotify:artist:6RXvZtTyld421VPmJtLqkL","Fikret Kızılok","1999-05-03","https://i.scdn.co/image/ab67616d0000b273a74cb0d6313e3a594cc12420","1","1","235147","https://p.scdn.co/mp3-preview/7c20d65f08c6c6faf9f58118eaf4ed2b27fbcf5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TR0330602190","spotify:user:yigitardasen","2019-11-15T14:58:35Z"
"spotify:track:7sdZrDjpjzsBMUTwVF8o6M","Malabadi Köprüsü","spotify:artist:3JfDOKDXkrtMc2S4mX1KJC","Selçuk Alagöz","spotify:album:3rqEJsLRJJ1uLNpaB8jEHj","Malabadi Köprüsü","spotify:artist:3JfDOKDXkrtMc2S4mX1KJC","Selçuk Alagöz","2015-05-07","https://i.scdn.co/image/ab67616d0000b2738f26317667d161217b32102b","1","1","175250","","false","0","TRAJY1511464","spotify:user:yigitardasen","2019-11-16T15:43:10Z"
"spotify:track:2QqJ1ei2Yoh2tEchOJD4fk","Uzun İnce Bir Yoldayım","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","spotify:album:1rhx2xKE8DX0wxd9fjV6iy","Yorumcu","spotify:artist:691svprNZf0oJTi1L0eYy6","Özdemir Erdoğan","1989","https://i.scdn.co/image/ab67616d0000b2733f1794bcfbc0733846205c7f","1","7","221800","","false","0","TR5940800071","spotify:user:yigitardasen","2019-11-18T19:13:43Z"
"spotify:track:0vX0gXazXnGAYPp7ELPwgI","Edalı Gelin","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","spotify:album:2mUBwJHiZ8jVFuZ7O3ZV1b","2.2.1973 Ankara","spotify:artist:1lIbZfJvMQRqzhtCQsg5EI, spotify:artist:5dMPhj9s9v91MpdGNpInLy","Cem Karaca, Moğollar","2016-02-02","https://i.scdn.co/image/ab67616d0000b273643234788dd6a62a6842df6c","1","6","258391","","false","0","TRAIF1600006","spotify:user:yigitardasen","2019-12-03T19:26:08Z"
"spotify:track:3AHKQbgXezWIfoOmYzHgnw","Allah'ım Beni de Gör","spotify:artist:5Mi0CfVFTACW7wclXpIA6G","Erol Büyükburç","spotify:album:3fVYCc3WB9ZiZhMBUjfSTV","Civciv Çıkacak Kuş Çıkacak / Allah'ım Beni de Gör","spotify:artist:5Mi0CfVFTACW7wclXpIA6G","Erol Büyükburç","1974-05-13","https://i.scdn.co/image/ab67616d0000b273b785644a8d3f17e279c67d3c","1","2","287623","","false","0","TR5411900232","spotify:user:yigitardasen","2019-12-03T19:37:39Z"
"spotify:track:3Ei6FFLK3ZD4lLUAaVohQr","Nasıl Evlenirsin Bu Lisanla","spotify:artist:3VtbhVouqBjeReY1vU8IHw","Marc Aryan","spotify:album:2XVUBMmF9Y64XUupleGT9L","Nasıl Evlenirsin Bu Lisanla","spotify:artist:3VtbhVouqBjeReY1vU8IHw","Marc Aryan","2015-06-03","https://i.scdn.co/image/ab67616d0000b27364597d13cd09e3cdad8b0dd7","1","1","118312","","false","0","TRAJY1511765","spotify:user:yigitardasen","2019-12-03T19:38:04Z"
